Station,Lines,Opened
Addison Road,"BL,SV","November 22, 1980"
Anacostia,GR,"December 28, 1991"
Archives,"GR,YL","April 30, 1983"
Arlington Cemetery,BL,"July 1, 1977"
Ballston–MU,"OR,SV","December 11, 1979"
Benning Road,"BL,SV","November 22, 1980"
Bethesda,RD,"August 25, 1984"
Braddock Road,"BL,YL","December 17, 1983"
Branch Avenue,GR,"January 13, 2001"
Brookland–CUA,RD,"February 6, 1978"
Capitol Heights,"BL,SV","November 22, 1980"
Capitol South,"BL,OR,SV","July 1, 1977"
Cheverly,OR,"November 20, 1978"
Clarendon,"OR,SV","December 11, 1979"
Cleveland Park,RD,"December 5, 1981"
College Park–University of Maryland,GR,"December 11, 1993"
Columbia Heights [a],"GR,YL","September 18, 1999"
Congress Heights,GR,"January 13, 2001"
Court House,"OR,SV","December 11, 1979"
Crystal City,"BL,YL","July 1, 1977"
Deanwood,OR,"November 20, 1978"
Dunn Loring,OR,"June 7, 1986"
Dupont Circle,RD,"January 17, 1977"
East Falls Church*,"OR,SV","June 7, 1986"
Eastern Market,"BL,OR,SV","July 1, 1977"
Eisenhower Avenue,YL,"December 17, 1983"
Farragut North,RD,"March 29, 1976"
Farragut West,"BL,OR,SV","July 1, 1977"
Federal Center SW,"BL,OR,SV","July 1, 1977"
Federal Triangle,"BL,OR,SV","July 1, 1977"
Foggy Bottom–GWU,"BL,OR,SV","July 1, 1977"
Forest Glen,RD,"September 22, 1990"
Fort Totten** (lower level)[a][b],"GR,YL","December 11, 1993"
Fort Totten* (upper level)[b],RD,"February 6, 1978"
Franconia–Springfield,BL,"June 29, 1997"
Friendship Heights,RD,"August 25, 1984"
Gallery Place* (lower level)[b],"GR,YL","April 30, 1983"
Gallery Place* (upper level)[b],RD,"December 15, 1976"
Georgia Avenue–Petworth [a],"GR,YL","September 18, 1999"
Glenmont,RD,"July 25, 1998"
Greensboro,SV,"July 26, 2014"
Greenbelt,GR,"December 11, 1993"
Grosvenor–Strathmore,RD,"August 25, 1984"
Huntington,YL,"December 17, 1983"
Judiciary Square,RD,"March 29, 1976"
King Street–Old Town*,"BL,YL","December 17, 1983"
L'Enfant Plaza* (lower level)[b],"BL,OR,SV","July 1, 1977"
L'Enfant Plaza* (upper level)[b],"GR,YL","April 30, 1983"
Landover,OR,"November 20, 1978"
Largo Town Center,"BL,SV","December 18, 2004"
McLean,SV,"July 26, 2014"
McPherson Square,"BL,OR,SV","July 1, 1977"
Medical Center,RD,"August 25, 1984"
Metro Center* (lower level)[b],"BL,OR,SV","July 1, 1977"
Metro Center* (upper level)[b],RD,"March 29, 1976"
Minnesota Avenue,OR,"November 20, 1978"
Morgan Boulevard,"BL,SV","December 18, 2004"
Mount Vernon Square**,"GR,YL","May 11, 1991"
Navy Yard–Ballpark,GR,"December 28, 1991"
Naylor Road,GR,"January 13, 2001"
New Carrollton,OR,"November 20, 1978"
NoMa–Gallaudet U,RD,"November 20, 2004"
Pentagon*,"BL,YL","July 1, 1977"
Pentagon City,"BL,YL","July 1, 1977"
Potomac Avenue,"BL,OR,SV","July 1, 1977"
Prince George's Plaza,GR,"December 11, 1993"
Rhode Island Avenue–Brentwood,RD,"March 29, 1976"
Rockville,RD,"December 15, 1984"
Ronald Reagan Washington National Airport ,"BL,YL","July 1, 1977"
Rosslyn*,"BL,OR,SV","July 1, 1977"
Shady Grove,RD,"December 15, 1984"
Shaw–Howard University [a],"GR,YL","May 11, 1991"
Silver Spring,RD,"February 6, 1978"
Smithsonian,"BL,OR,SV","July 1, 1977"
Southern Avenue,GR,"January 13, 2001"
Spring Hill,SV,"July 26, 2014"
Stadium–Armory*,"BL,OR,SV","July 1, 1977"
Suitland,GR,"January 13, 2001"
Takoma,RD,"February 6, 1978"
Tenleytown–AU,RD,"August 25, 1984"
Twinbrook,RD,"December 15, 1984"
Tysons Corner,SV,"July 26, 2014"
U Street [a],"GR,YL","May 11, 1991"
Union Station,RD,"March 29, 1976"
Van Dorn Street,BL,"June 15, 1991"
Van Ness–UDC,RD,"December 5, 1981"
Vienna,OR,"June 7, 1986"
Virginia Square–GMU,"OR,SV","December 11, 1979"
Waterfront,GR,"December 28, 1991"
West Falls Church,OR,"June 7, 1986"
West Hyattsville,GR,"December 11, 1993"
Wheaton,RD,"September 22, 1990"
White Flint,RD,"December 15, 1984"
Wiehle–Reston East,SV,"July 26, 2014"
Woodley Park,RD,"December 5, 1981"
