station,lines,opening
Addison Road,"Blue,Silver","Nov 22, 1980"
Anacostia,Green,"Dec 28, 1991"
Archives,"Green,Yellow","Apr 30, 1983"
Arlington Cemetery,Blue,"Jul 1, 1977"
Ashburn,Silver,"Nov 15, 2022"
Ballston–MU,"Orange,Silver","Dec 11, 1979"
Benning Road,"Blue,Silver","Nov 22, 1980"
Bethesda,Red,"Aug 25, 1984"
Braddock Road,"Blue,Yellow","Dec 17, 1983"
Branch Avenue,Green,"Jan 13, 2001"
Brookland–CUA,Red,"Feb 6, 1978"
Capitol Heights,"Blue,Silver","Nov 22, 1980"
Capitol South,"Blue,Orange,Silver","Jul 1, 1977"
Cheverly,Orange,"Nov 20, 1978"
Clarendon,"Orange,Silver","Dec 11, 1979"
Cleveland Park,Red,"Dec 5, 1981"
College Park–University of Maryland,"Green,Yellow","Dec 11, 1993"
Columbia Heights,"Green,Yellow","Sep 18, 1999"
Congress Heights,Green,"Jan 13, 2001"
Court House,"Orange,Silver","Dec 11, 1979"
Crystal City,"Blue,Yellow","Jul 1, 1977"
Deanwood,Orange,"Nov 20, 1978"
Downtown Largo,"Blue,Silver","Dec 18, 2004"
Dulles International Airport,Silver,"Nov 15, 2022"
Dunn Loring,Orange,"Jun 7, 1986"
Dupont Circle,Red,"Jan 17, 1977"
East Falls Church,"Orange,Silver","Jun 7, 1986"
Eastern Market,"Blue,Orange,Silver","Jul 1, 1977"
Eisenhower Avenue,Yellow,"Dec 17, 1983"
Farragut North,Red,"Mar 29, 1976"
Farragut West,"Blue,Orange,Silver","Jul 1, 1977"
Federal Center SW,"Blue,Orange,Silver","Jul 1, 1977"
Federal Triangle,"Blue,Orange,Silver","Jul 1, 1977"
Foggy Bottom–GWU,"Blue,Orange,Silver","Jul 1, 1977"
Forest Glen,Red,"Sep 22, 1990"
Fort Totten (lower),"Green,Yellow","Dec 11, 1993"
Fort Totten (upper),Red,"Feb 6, 1978"
Franconia–Springfield,Blue,"Jun 29, 1997"
Friendship Heights,Red,"Aug 25, 1984"
Gallery Place (lower),"Green,Yellow","Apr 30, 1983"
Gallery Place (upper),Red,"Dec 15, 1976"
Georgia Avenue–Petworth,"Green,Yellow","Sep 18, 1999"
Glenmont,Red,"Jul 25, 1998"
Greensboro,Silver,"Jul 26, 2014"
Greenbelt,"Green,Yellow","Dec 11, 1993"
Grosvenor–Strathmore,Red,"Aug 25, 1984"
Herndon,Silver,"Nov 15, 2022"
Huntington,Yellow,"Dec 17, 1983"
Hyattsville Crossing,"Green,Yellow","Dec 11, 1993"
Innovation Center,Silver,"Nov 15, 2022"
Judiciary Square,Red,"Mar 29, 1976"
King Street–Old Town,"Blue,Yellow","Dec 17, 1983"
L'Enfant Plaza (lower),"Blue,Orange,Silver","Jul 1, 1977"
L'Enfant Plaza (upper),"Green,Yellow","Apr 30, 1983"
Landover,Orange,"Nov 20, 1978"
Loudoun Gateway,Silver,"Nov 15, 2022"
McLean,Silver,"Jul 26, 2014"
McPherson Square,"Blue,Orange,Silver","Jul 1, 1977"
Medical Center,Red,"Aug 25, 1984"
Metro Center (lower),"Blue,Orange,Silver","Jul 1, 1977"
Metro Center (upper),Red,"Mar 29, 1976"
Minnesota Avenue,Orange,"Nov 20, 1978"
Morgan Boulevard,"Blue,Silver","Dec 18, 2004"
Mount Vernon Square,"Green,Yellow","May 11, 1991"
Navy Yard–Ballpark,Green,"Dec 28, 1991"
Naylor Road,Green,"Jan 13, 2001"
New Carrollton,Orange,"Nov 20, 1978"
NoMa–Gallaudet U,Red,"Nov 20, 2004"
North Bethesda,Red,"Dec 15, 1984"
Pentagon,"Blue,Yellow","Jul 1, 1977"
Pentagon City,"Blue,Yellow","Jul 1, 1977"
Potomac Avenue,"Blue,Orange,Silver","Jul 1, 1977"
Reston Town Center,Silver,"Nov 15, 2022"
Rhode Island Avenue,Red,"Mar 29, 1976"
Rockville,Red,"Dec 15, 1984"
Ronald Reagan Washington National Airport,"Blue,Yellow","Jul 1, 1977"
Rosslyn,"Blue,Orange,Silver","Jul 1, 1977"
Shady Grove,Red,"Dec 15, 1984"
Shaw–Howard University,"Green,Yellow","May 11, 1991"
Silver Spring,Red,"Feb 6, 1978"
Smithsonian,"Blue,Orange,Silver","Jul 1, 1977"
Southern Avenue,Green,"Jan 13, 2001"
Spring Hill,Silver,"Jul 26, 2014"
Stadium–Armory,"Blue,Orange,Silver","Jul 1, 1977"
Suitland,Green,"Jan 13, 2001"
Takoma,Red,"Feb 6, 1978"
Tenleytown–AU,Red,"Aug 25, 1984"
Twinbrook,Red,"Dec 15, 1984"
Tysons,Silver,"Jul 26, 2014"
U Street,"Green,Yellow","May 11, 1991"
Union Station,Red,"Mar 29, 1976"
Van Dorn Street,Blue,"Jun 15, 1991"
Van Ness–UDC,Red,"Dec 5, 1981"
Vienna,Orange,"Jun 7, 1986"
Virginia Square–GMU,"Orange,Silver","Dec 11, 1979"
Waterfront,Green,"Dec 28, 1991"
West Falls Church,Orange,"Jun 7, 1986"
West Hyattsville,"Green,Yellow","Dec 11, 1993"
Wheaton,Red,"Sep 22, 1990"
Wiehle–Reston East,Silver,"Jul 26, 2014"
Woodley Park,Red,"Dec 5, 1981"
